year_month	0
2020-04	84776
2020-05	200274
2020-06	343005
2020-07	551480
2020-08	622361
2020-09	532958
2020-10	388653
2020-11	259716
2020-12	131573
2021-01	96834
2021-02	49622
2021-03	228496
2021-04	337230
2021-05	531633
2021-06	729595
2021-07	822410
2021-08	804352
2021-09	756147
2021-10	631226
2021-11	359978
2021-12	247540
2022-01	103770
2022-02	115609
2022-03	284042
2022-04	371249
2022-05	634858
2022-06	769204
2022-07	823488
2022-08	785932
2022-09	701339
2022-10	558685
2022-11	337735
2022-12	181806
2023-01	190301
2023-02	190445
2023-03	258678
2023-04	426590
2023-05	604827
2023-06	719618
2023-07	767650
2023-08	771693
2023-09	666371
2023-10	537113
2023-11	362518
2023-12	224073
2024-01	144873
2024-02	223164
2024-03	301687
2024-04	415025
2024-05	609704
2024-06	710747
2024-07	749004
2024-08	755804
2024-09	820867
2024-10	616246
